Item No.,Description,Unit,Rate
25-2,"fuEufyf[kr lfgr lHkh Å¡pkb;ksa vkSj lHkh Lrjksa ds fy, Hkou ds js[kh; rFkk dfoZykbuj Hkkxkas ds fy, <kapkxr Xysftax ¼[kqys tksMksa ds lkFk½ dks lseh ¼fxzM½ ;qfuVkbTM iz.kkyh esa fMtkbfuax] QSfczdsfVax] ijh{k.k] lqj{kk] laLFkkiuk vkSj yxkuk ¼d½ fofHkUu eksVkbZ okys ,Y;qfefu;e DyhVksa] Lyhoks vkSj LIykbl IysVksa vkfn xkLdsV] LØw VkxYl] UkV cksYV] DySEi vkfn <k¡pkxr vkSj cs/kj flfydk¡u lhysUV] ¶ySf”kax] vfXu fu;a=d ¼csfj;j½ ,oa Leksd lhy] ekbdzksosc D;ksMZ EPDM] xSldsV] ikuh dks jksdus& izs”kj dks cjkcj j[kus ,oa ukyh rFkk vkx ds [krjs ds fo:) lqj{kk ds fy, ,Y;qfefu;e lsD”kuksa dh dk;Z”khy fMtkbu lfgr Hkk-ek- 875 HkkxIII ¼bl flLVe dks fcuk fdlh foQyrk ds 1-5 xquk fMtkbu foUM izs”kj ij izek.k ijh{k.k ikl gksuk pkfg,½ ds vuq:Ik fufnZ’V yksM ds fy, <k¡pkxr fo”ys’k.k ,oa fMtkbu rFkk “kkWi Mªkbaxks dh rS;kjhA ¼[k½ iw.kZ vnxzrk izkIr djus gsrq frzvk;keh lapyu dks lek;ksftr djus] <k¡pkxr Xysftax iz.kkyh dks Hkou ds <k¡ps ds iz0lh0da0 fpukbZ <k¡pkxr LVhy lajpuk ds lkFk LVsuysl LVhy QkLVuj cksYV~l ls l[rh ls tksMus] ck;esfVd lEidZ jksdus gsrq visf{kr {kerk vkSj la[;k esa LVsuysl LVhy xzsM 316 ds uV o ok”kjksa ds lkFk ukbyku lsijsVj dk iz;ksx djrs gq, lsjsVsM] ,e,l gkVfMi dybZ fd, x, 6005 T-5,Y;wfefu;e ,yk¡; ds visf{kr vkdkjksa] lsDluksa vkSj izksQkbyksa vkfn ds czsdsV~l dh QsczhdsfVax o vkiwfrZA ¼x½ dk¡p dks idM+us ds fy, ifjf/k ds Hkhrj rFkk pkjksa vkSj vuqeksfnr lhySUV fMtkbu ds vuqlkj vuqeksfnr xzsM] czkaM vkSj fuekZ.k dh nksuksa lkbM okys Lislj Vsi] lsV gksus okys CykWd rFkk cSdj jkM lfgr LoPN vkSj fu;af=r QSDVjh@ odZ”kki i;kZoj.k esa visf{kr ckbV vkdkj ds <kapkxr flfydku lhySUV ds vuqdwy nks Hkkx iEi ls Hkjs gq, <kapkxr flfydkWu lhySUV rFkk ,d Hkkx ekSleh lhfydku lhySUV dh O;oLFkk djuk rFkk HkjukA",,
,"NIT vuqeksnu izkf/kdj.k dk;Z dh ykxr] ijh{k.k dh ykxr vkSj dk;Z ds egRo ds vk/kkj ij ijh{k.k dh vfuok;Zrk dk fu/kkZj.k djsxkA <kapkxr Xysftax flLVe ds fu’iknu ijh{k.kNABLizekf.kr iz;ksx”kkykvksa eas fd, tk,axsA ¼1a½ 1 ls 200MVHR rd dh ijh{k.k lhek ds jsat ds fy,ASTM E-283- 04 ijh{k.k i)fr ds vuqlkj ,;j yhdst ijh{k.k ds fy, fu’iknu iz;ksx”kkyk ijh{k.k ¼-50 Pa ls300 Pa½ ,oa(+ 50 PaLks+300 Pa) ¼2½ 2000 MLdh lhek rd jast ds fy,ASTME-331- 09ijh{k.k i)fr ds vuqlkj fLFkj ty os/ku ijh{k.k ¼50 Pals1500 Pa½ ¼3½ 2000ML dh lhek rd ds jsat ds fy,AAMA 501.01- 05 ijh{k.k i)fr ds vuqlkj xfr”khy ty os/ku ¼50 Pa ls1500 Pa½ ¼4½ 50 feeh rd jast ds fy,ASTME 330-10 ijh{k.k i)fr ds vuqlkj fLFkj ok;q nkc ijh{k.k }kjk <kapkxr fu’iknu fo{ksi vkSj fo:i.k ¼fcuk fdlh foQyrk ds 1-5 xquk Msflax ok;q nkc½",,
,"¼5½ dksfV ijh{k.k ds fy,AAMA 501.4-09 ijh{k.k i)fr ds vuqlkj lhfLed ewoesUV VsLV ¼30 feeh rd½ ijh{k.k dk;ZLFky ij fd;k tkuk gSA",,
,"¼6½ 2000ML rd 50KPa ls 240KPa (35 psi) rd ds nkc jsat ds fy, ty fjlko dk ekSds ij ijh{k.kA",oxZ eh-,3111.35
25-3,"vkfdZVsDV dh Mªkbax] vuqeksfnr “kkWi dh Mªkbax] izHkkjh bathfu;j }kjk fufnZ’V rFkk mlds funsZ”kkuqlkj izkFkfed lhy rFkk f}rh;d lhy ¼<kapkxr flfydku lhySUV½ vkfn lfgr vuqeksfnr jax vkSj “ksM ds#2 lrg ij js¶ysfDVo lk¶V dksfVax ds lkFk vuqeksfnr jax vkSj “ksM dh ,d vkarfjd rki l”kDr Li’V ¶YkksV 6 feeh eksVh dkap] 12 feeh pkSM+h Lislj V~;wc] fMfLkdSUV lfgr ;Fkk visf{kr vkSj fufnZ’V vkdkj dh ok;q:) lhYM 6&12&6 feeh balqysVsM dkap ¼nksgjh Xyst½ fotu isuy ds lkFk fotu dkap isuy(IGUs) dh O;oLFkk] laxzg.k rFkk vkiwfrZ djukAIGUsdk laxzg.k dkap izkslslj dh QSDVªh@ odZ”kki esa fd;k tk,xkA ¼djVsu Xysftax esaIGU isuy yxkus dk Hkqxrku en la0 25-2 dh ykxr esa “kkfey gS½A Hkqxrku ds fy, O;oLFkk fd, x; rFkk yxk;s x, dkap isuy ¼[kkaps vkSj ekSle flfydkWu lhySUV ds {ks= dks NksM+dj½ ds#1 lrg ij dkap ds okLrfod {ks=Qy dk ekiu oxZ eh- esa fd;k tk,xkA",,
,"¼i½ lrg#2] ij js¶ysfDVo lk¶j dksfVax ds lkFk jaxhu fVUVsM ¶yksV dkap ds +12 feeh ,;jxSi+ 25ls35% ds foftcy ykbZV VªkalfeVsUl(VLT); 10 ls 15% ykbZV jsQysDlu vkUrfjd]10 ls20% ykbV jsQysD”ku ckg;] “ksfMax dksbfQlsUV ¼0-25 ls 0-28½ vkSj 3-0 ls 3-3w/m<sup>2</sup> K dkU ewY; vkfn ds :Ik esa ifjlEifRr;ksa okys vuqeksfnr esd ds 6 feeh rki l”kDr dkapA fu’iknu dkap dh ifjlEifRr;kas dk fu/kkZj.k LFky dh vko”;drk ds vuqlkj rduhdh Lohd`fr izkf/kdkjh }kjk fd;k tk,xk",oxZ eh-,3377.50
25-4,"vkfdZVsDV dh Mªkbax] vuqeksfnr “kkWi dh Mªkbax] izHkkjh bathfu;j }kjk fufnZ’V rFkk mlds funZs”kkuqlkj vko”;d LVsuysl LVhy LØw@ QkLVj] uV] cksYV] ok”kj vkfn lfgr gSoh M~;wVh LVsuysl LVhy ds lkFk fÝDlu fgUtksa] LVsuysl LVhy IysV] gS.My] cQj vkfn ds lkFk U;wure 4 IokbaV Øheksu tSls ;FkkfufnZ’V vkSj vuqeksfnr esd ds [kqyus ;ksX; isuyksa ds fy, lHkh miLdjksa rFkk gkMZos;jksa dh ekSds ij miyC/krk rFkk vkiwfrZ djus lfgr [kksyus ;ksX; Vksi@ gax fotu Xykl isuy¼IGUs½ ds fy, vfrfjDrA",oxZ eh-,3309-05
25-5,"Hkk-ek-8183rFkkBS: 3958 Hkkx 5 ds vuq:Ik 50 feeh eksVs v/kZ&Lk[r buvkxZfud] xSj ngu”khy Qkbcj Xykl owy bUlqys”ku dh O;oLFkk djds Hkou ds js[kh; rFkk odzjs[kh; Hkkxkas esa <kapkxr Xysftax ds LiSUMªsy Hkkx eas yxkus fy, visf{kr vkdkj dh “kSMks ckDl dh O;oLFkk QSfczdsfVax] rFkk vkiwfrZ djukA bUlqyslu ys;j esaSS fjosV~l] uV] cksYV] ok”kj vkfn lfgr 6 feeh eksVs lhesUV ds cksMZ dk iz;ksx djds 1.5 feeh eksVs Bksl ,Y;qfefu;e “khV dh cSfdax yxkus lfgr osV& ys izfdz;k }kjk ckbaMj esa forfjr ;kn`fPNd vksfj,UVsM dkap Qkbcj ds cus 0-5 feeh dh ekewyh eksVkbZ rFkk 60 xzke izfr oxZ eh ls vuf/kd ekewyh lewg ds dkys uku&owosu Qkbcj Xykl fVlw dh Qsflax ¼Qkbcj Xykl bUlqyslu ys;j ds#1 lrg ij QSDVªh }kjk ckUM fd;k x;k½ gksxkA",oxZ eh-,1954.30
25-6,";Fkk fufnZ’V] vkfdZVsDV dh Mªkbax] vuqeksfnr “kkWi dh Mªkbax rFkk izHkkjh baftfu;j ds funZs”kkuqlkj visf{kr fu’iknu ds fy, vuqeksfnr jax vkSj vkdkj ds# 2lrg ij vuqeksfnr jax vkSj vkdkj dh jsQysfDVo lk¶V dksfVax dh 6 feeh eksVh rki lk”kDr eksuksfyfFkd ¶yksV Xykl lfgr LiSUMªsy Xykl iSuy dh O;oLFkk rFkk vkiwfrZ djuk rkfd og fotu iSuy vkfnIGUs ds jax rFkk vkdkj ds leku gks ldsA Hkqxrku ds fy,] Xykl iSuyksa ds# 1lrg ij fdUrq [kkapksa vkSj ekSleh flfydkWu lhysUV dks NksM+dj iznku fd, x, rFkk lgh LFkku ij yxk, x, Xykl ds okLrfod {ks=Qy dk oxZ eh- esa eki fd;k tk,xk ¼dVsZu Xysftax esa LisUMªYk Xykl iSuyksa dks yxkus ds fy, Hkqxrku( lEcfU/kr en esa “kkfey gSA½ ¼d½ 25 ls 35%dh foftcy ykbZV VªkalfeVsUl¼VLT½]10 ls 15%ykbV jsQysD”ku vkUrfjd] 10 ls 20%ykbV jsQysD”ku ckg;] “ksfMax dks bfQfl,UV ¼0-25& 0-28½ rFkk 3-0 ls 3-3W/ m<sup>2</sup> K dkU ewY; vkfn tSlh ifjlEifRr;ksa okys# 2 lrg ij jsQysfDVo Lkk¶V dksfVax ds lkFk 6 feeh eksVh lcLVsªV jaxhu fVuVsaM ¶yksV Xykl fu’iknu Xykl dh ifjlEifRr;ksa dk fu.kZ; LFky dh vko”;drkuqlkj rduhdh Lohd`fr izkf/kdkjh }kjk fd;k tk,xkA",oxZ eh-,2213.50
25-8,"“Hkk-ek-875 ¼Hkkx&III½ ds vuqlkj ok;q ds ncko dks jksdus ds fy, cuk, x, lLisf.MM LikbMj Xysftax flLVe dk fuekZ.k] vkiwfrZ ,oa laLFkkiukASS&316 xzsM ds LVsuysl LVhy LikbMj ls ,d lkFk tqM+s 12 feeh eksVs lkQ l[r dkap ,oa 21 feeh eksVs ySfeusVsM dkap fQUl okyh cksYV vlsEcyh okyh dkap dh iSuy ds lkFk vuqeksfnr fuekZrk dhSS&316 xzsM dh LVhy dh LikbMj fQfVax ds lkFk yxh vkLFkfxr iz.kkyhA dkap dh fQUl vkSj dkap isuy vlsEcyh dks fofunsZ”k rFkk vuqeksfnr Mªkbax ds vuqlkj fu’iknu djus ds fy, f}/kkfRod lEidZ ls jksdus ds fy, cksYVksa vuqeksfnr fdLe ds ukWu LVsuysl osnj lhySUV] VsQykWu@ ukW;yku czq”kksa rFkk i`FkDdj.kksa dk iz;ksx djdsSS&316 xzsM ds LVsuysl LVhy czsdsV ,oa ,adj cksYVksa rFkk ry esa50x25x2 feeh- dsSS& pSuy dk iz;ksx djds LySc@ cheksa dks tksM+k tk,xkA lexz flLVe dk bl rjhds ls fuekZ.k fd;k tk,xk fd rkih; foLrkj ,oa lhfLed ewoesUV vkfn dks lekfo’V fd;k tk ldsA vlsEcyh dh ifjf/k rFkkU PkSuy esa Xykl iSuyksa ¼6 ls 8 feeh½ vkSj vUrjksa ds chp vUrjksa dks ukWu& LVsfuax osnj lhySUV ls Hkjk tk,xk rkfd lexz flLVe dks iw.kZ :Ik ls okVjizwQ cuk;k tk ldsA blh nj eas <+kaPkkxr fMtkbuj] etnwjh]T & P,ikM+ yxkus] osLVst] lHkh fQfVax fQDlj uV] cksYV] ok”kj] cQj IysV] QkLVuj] ,sadj]SSPkSuy ySfeusVsM dkap vkfn tSls vLFkk;h lsokvksa ds fy, leFkZ cukus lfgr vU; izklafxd izHkkj “kkfey gksxasA Hkqxrku ds fy,SSpSuy ds Hkhrj Xykl iSuy ds tksM+ksa rFkk mlds Hkkxksa dh eksVkbZ lfgr Xysftax ds okLrfod mRFkku {ks= dks ekik tk,xkA”",oxZ eh-,8230.05
