Item No.,Description,Unit,Rate
,"(a) Structural analysis & design and preparation of shop drawings for the specified design loads conforming to IS 875 part III (the system must passed the proof test at 1.5 times design wind pressure without any failure), including functional design of the aluminum sections for fixing glazing panels of various thicknesses, aluminium cleats, sleeves and splice plates etc. gaskets, screws, toggles, nuts, bolts, clamps etc., structural and weather silicone sealants, flashings, fire stop (barrier)- cum-smoke seals, microwave cured EPDM gaskets for water tightness, pressure equalisation & drainage and protection against fire hazard including:",,
,"(b) Fabricating and supplying serrated M.S. hot dip galvanised / Aluminium alloy of 6005 T5 brackets of required sizes, sections and profiles etc. to accommodate 3 Dimentional movement for achieving perfect verticality and fixing structural glazing system rigidly to the RCC/ masonry/structural steel framework of building structure using stainless steel anchor fasteners/ bolts, nylon seperator to prevent bimetallic contacts with nuts and washers etc. of stainless steel grade 316, of the required capacity and in required numbers. (c) Providing and filling, two part pump filled, structural silicone sealant and one part weather silicone sealant compatible with the structural silicone sealant of required bite size in a clean and controlled factory / work shop environment, including double sided spacer tape, setting blocks and backer rod, all of approved grade, brand and manufacture, as per the approved sealant design, within and all around the perimeter for holding glass.",,
,"(i) Coloured tinted float glass 6mm thick substrate with reflective soft coating on face # 2, + 12mm Airgap + 6mm Heat Strengthened clear Glass of approved make having properties as visible Light transmittance (VLT) of 25 to 35 %, Light reflection internal 10 to 15%, light reflection external 10 to 20 %, shading coefficient (0.25- 0.28) and U value of 3.0 to 3.3 W/ m2 degree K etc. The properties of performance glass shall be decided by technical sanctioning authority as per the site requirement.",sqm,3377.50
25.4,"Extra for openable side / top hung vision glass panels (IGUs) including providing and supplying at site all accessories and hardwares for the openable panels as specified and of the approved make such as heavy duty stainless steel friction hinges, min 4 -point cremone locking sets with stainless steel plates, handles, buffers etc. including necessary stainless steel screws/ fasteners, nuts, bolts, washers etc. all complete as per the Architectural drawings, as per the approved shop drawings, as specified and as directed by the Engineer- in- Charge.",sqm,3309.05
25.5,"Providing, fabricating and supplying shadow box of required size and shape, for fixing in the spandrel portion of the structural glazing, in linear as well as curvilinear portions of the building by providing semi -rigid, inorganic, non-combustible fibre glass wool insulation 50 mm thick, conforming to IS: 8183 and BS: 3958 Part 5. The insulation layer shall have facing (factory bonded on surface # 1 of the fibre glass insulation layer), of black non-woven fibre glass tissue of nominal thickness 0.5 mm and nominal mass not less than 60 gm /sqm, made of randomly oriented glass fibres distributed in a binder by a wet-lay process including fixing 1.5 mm thick solid aluminum sheet backing using, 6 mm thick cement board including SS rivets, nuts, bolts, washers etc complete.",sqm,1954.30
25.6,"Providing and supplying Spandrel Glass Panels comprising of 6 mm thick heat strengthened monolithic float glass of approved colour and shade with reflective soft coating on surface # 2 of approved colour and shade so as to match the colour and shade of the IGUs in the vision panels etc. ,all complete for the required performances as specified, as per the Architectural drawings, as per the approved shop drawings, as specified, and as directed by the Engineer- in- Charge.",,
,"For payment, only the actual area of glass on face # 1 of the glass panels (but excluding the area of grooves and weather silicone sealant) provided and fixed in position, shall be measured in sqm. (Payment for fixing of Spandrel Glass Panels in the curtain glazing is included in cost of relevent Item*).“(i) Coloured tinted float glass 6mm thick substrate with reflective soft coating on face # 2, having properties as visible Light transmittance (VLT) of 25 to 35 %, Light reflection internal 10 to 15%, light reflection external 10 to 20 %, shading coefficient (0.25- 0.28) and U value of 3.0 to 3.3 W/m2 K etc. . The properties of performance glass shall be decided by technical sanctioning authority as per the site requirement.",sqm,2213.50
25.8,"Design supply & installation of suspended Spider Glazing system designed to withstand the wind pressure as per IS 875 (Part-III). The Suspended System held with Spider Fittings of SS-316 Grade Steel of approved manufacturer with glass panel having 12 mm thick clear toughened glass held together with SS- 316 Grade Stainless steel Spider & bolt assembly with laminated glass fins 21 mm thick. The Glass fins and glass panel assembly shall be connected to Slab/ beams by means of SS- 316 Grade stainless steel brackets & Anchor bolts and at the bottom using SS channel of 50x25x2mm using fastener & anchor bolts, non staining weather sealants of approved make, Teflon/ nylon bushes and separators to prevent bi-metallic contacts, all complete to perform as per specification and approved drawings. The complete system to be designed to accommodate thermal expansion & seismic movements etc. The joints between glass panels (6 to 8 mm) and gaps at the perimeter & in U channel of the assembly to be filled with non staining weather sealant, so as to make the entire system fully water proof & dust proof.",,
,"The rate shall include all design, Engineering and shop drawing including approval from structural designer, labour, T&P, scaffolding, other incidental charges including wastage, enabling temporary services all fitting fixers nut bolts, washer, Buffer plates, fastener, anchors, SS channel laminated glass etc. all complete. For the purpose of payment, actual elevation area of Glazing including thickness of joints and the portion of Glass panel inside the SS channel shall be measured.",sqm,8230.05
25-1,"vkfdZVsDV dh Mªkbax vkSj vuqeksfnr “kki Mªkbax ds vuqlkj ,Y;qfefu;e ,DlwVªMsaM V;wcyj rFkk vU; ,Y;qfefu;e lsD”kuksa dh O;oLFkk vkSj vkiwfrZ djukA izHkkjh bathfu;j }kjk vuqeksfnr jax vkSj “ksM ds]AAMA 2604ds vuq:Ik 60&80 ekbdzksu dh lqij M~;sjscy ikoMj dksfVax lfgr ,Y;qfefu;e dh xq.koŸkkBS1474 ds vuqlkj xzsM 6063T-5vFkokT-6ds vuqlkj gksxhA ¼bl en esa ,DlVªMsM ,Y;qfefu;e <kaps ds Qsfczds”ku ds fy, vfuok;Z DyhVksa] Lyhol] LØw vkfn tSlh lkefxz;kas dh ykxr “kkfey gS] dksbZ vfrfjDr Hkqxrku ugha fd;k tk;sxkA½",fdyksxzke,370-45
