Item No.,Description,Unit,Rate
6.2.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,5746.80
6.2.2,Cement Mortar 1:6 (1 cement : 6 coarse sand).,cum,5549.95
6.3,Brick w of class plinth l coarse ork with common burnt clay machine moulded perforated bricks designation 12.5 conforming to IS: 2222 in superstructure above evel up to floor five level in cement mortar 1:6 (1 cement : 6 sand) :,,
6.3.1,With F.P.S.(non modular) bricks,cum,8030.60
6.3.2,With Modular bricks,cum,7814.65
6.4,Brick w design all sha ork with common burnt clay F.P.S. (non modular) bricks of class ation 7.5 in superstructure above plinth level up to floor V level in pes and sizes in :,,
6.4.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,8512.10
6.4.2,Cement mortar 1:6 (1 cement : 6 coarse sand),cum,8288.35
6.5,"Extra f supers mecha or brick work / AAC block masonry / Tile brick masonry in tructure above floor V level, for each four floors or part thereof by nical means.",cum,142.00
6.6,Extra f necess providi mm se or forming cavity 5 cm to 11.5 cm wide in cavity walls with ary weep and vent holes including use of cores and cost of ng and fixing bitumastic coated M .S. ties 300 mm long of 25x3 ction at not less than 3 ties per sqm as per approved design.,sqm,193.80
6.7,Providi bricks coarse cavity grade 1 ng half brick masonry with common burnt clay F.P.S. (non modular) of class designation 7.5 in cement mortar 1:3 (1 Cement : 3 sand) in superstructure for closing cavity 5 to 7.5 cm wide in wall complete with 10cm / 11.4 cm wide bitumen felt type 3 .,metre,273.45
6.8,Brick w brick o coarse level. ork 7 cm thick with common burnt clay F.P.S. (non modular) f class designation 7.5 in cement mortar 1:3 (1 cement : 3 sand) in superstructure above plinth level and upto floor five,sqm,819.15
6.9,Brick w floor fiv to 6 m class d ork in plain arches in superstructure above plinth level and upto e level including centering and shuttering complete for span up etres with common burnt clay F.P.S. (non modular) bricks of esignation 7.5 in cement mortar 1:3 (1 cement : 3 coarse sand).,cum,13378.10
6.30,Brick wo (non mo expose 10mm w coarse rk with common burnt clay machine moulded perforated F.P.S. dular) bricks of class designation 12.5 conforming IS : 2222 in d brick work including making horizontal and vertical grooves ide 12 mm deep complete in cement mortar 1:6 (1 cement : 6 sand).,,
6.30.1,From ground level upto plinth level,cum,6439.20
6.30.2,Above plinth level upto floor V level,cum,8069.30
