Item No.,Description,Unit,Rate
6-1,"uhao o dqlhZ esa 7-5 oxZ uke dh feV~Vh dh lkekU; idh uku ekM;wyj ,Q ih ,l bZaVksa ls fpukbZ dk dke",,
,6-1-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls-,?ku eh,6882-00
,6-1-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls-,?ku eh,6658-25
6-2,uhao o dqlhZ esa 7-5 oxZ uke dh feV~Vh dh lkekU; idh izek.kh; bZaVksa ls fpukbZ dk dke,,
,6-2-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls-,?ku eh,5746-80
,6-2-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls-,?ku eh,5549-95
6-3,dqlhZ ry ls Åij dh lajpuk esa feV~Vh dh lkekU; idh bZaVks ls 1%6 ¼1 lhesaV % 6 eksVh jsr ½ ds lhesaV elkys ls Q'kZ ikWap ry rd Hkkjrh; ekud % 2222 ds vuqlkj 12-5 oxZ uke dh] e'khu ls <fyr] fNfnzr bZaV dk fpukbZ dk;Z %,,
,"6-3-1 ,Q ih ,l ¼vçek.kh;½ bZaVksa ls",?ku eh,8030-60
,6-3-2 çek.kh; bZaVksa ls,?ku eh,7814-65
6-4,"dqlhZ ry ls Åij ikapos ry dh lajpuk esa 7-5 oxZ uke dh ,Q ih ,l ¼vçek.kh;½ bZaVksa ls lHkh izdkj vkSj cukoV dh fpukbZ dk dk;Z %",,
,6-4-1 1%4 ¼1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls-,?ku eh,8512-10
,6-4-2 1%6 ¼1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls-,?ku eh,8288-35
6-5,"vfrfjDr Hkqxrku] Q'kZ ikWap ry ls Åij dh lajpuk esa] izR;sd pkj ryksa ds fy, vFkok vkf'kad :i ls bZaV fpukbZ dk;Z esa ,-,-lh- Cykd fpukbZ@ VkbZy dk;Z ds fy, ;kaf=d lk/kuksa ls lkexzh mBk, tkus ds fy,",?ku eh,142-00
6-6,"vfrfjDr Hkqxrku] f>jhnkj nhokjksa esa 5 lseh ls 11-50 lseh rd pkSM+h f>jh vkSj vko';d fjlko rFkk laokru Nsn cukus] dkzsM+ yxkus vkSj vuqeksfnr vfHkdYi ds vuqlkj fcVwesu ysi;qDr] 25 feehx3 feeh dkV okyh 300 feeh yEch uje bLikr ca/kfu;ksa dh O;oLFkk djus vkSj mUgsa yxkus ds fy, ¼izfr oxZ eh 3 ca/kfu;ksa ls de u gks½",oXkZ eh,193-80
